OSM_tag;OSM_full_description;OSM_path;FS_manual_path;FS_tag
department store;A single large store �?? often multiple storeys high �?? selling a large variety of goods (see also shop=mall);shop > general store department store mall > department store;retail > department store;department store
bus guideway;A busway where the vehicle guided by the way (though not a railway) and is not suitable for other traffic. Please note: this is not a normal bus lane, use access=no, psv=yes instead!;highway > special road types > bus guideway;travel transportation > transportation service > public transportation > bus line;bus line
electrical;Shop focused on selling electrical supplies and devices;shop > doityourself household building materials gardening > electrical;business professional services > electrical equipment supplier;electrical equipment supplier
hotel;Hotel �?? an establishment that provides paid lodging.;tourism > hotel;travel transportation > lodging > hotel;hotel
peak;The top (summit) of a hill or mountain.;natural > geology related > peak;landmarks outdoors > mountain;mountain
interior decorator;Workplace or office of a person who does interior decoratoring.;craft > interior decorator;business professional services > home improvement service > interior designer;interior designer
psychotherapist;Someone who practices psychotherapy but is not a Physician on Wikipedia.;healthcare > psychotherapist;health medicine > mental health service > psychologist;psychologist
music school;A music school, an educational institution specialized in the study, training, and research of music.;amenity > education > music school;community government > education > music school;music school
platform;The place where passengers are waiting for the public transport vehicles.;public transport > public transport > platform;travel transportation > platform;platform
florist;Shop focused on selling bouquets of flowers (see shop=garden_centre for potted flowers).;shop > doityourself household building materials gardening > florist;retail > flower store;flower store
company;An office of a private company.;office > company;business professional services > office > office building;office building
college;Campus or buildings of an institute of Further Education (aka continuing education);amenity > education > college;community government > education > college university > college academic building;college academic building
bungalow;A single-storey detached small house, Dacha.;building > accommodation > bungalow;community government > residential building > home private;home private
raceway;A course or track for (motor) racing;highway > special road types > raceway;sports recreation > race track;race track
hospital;A hospital providing in-patient medical treatment. Often used in conjunction with emergency=* to note whether the medical centre has emergency facilities (A&E (brit.) or ER (am.));amenity > healthcare > hospital;health medicine > hospital > hospital unit;hospital unit
