Tag;Tag_depth;Depth_1;Depth_2;Depth_3;Depth_4;Depth_5;Depth_6;definition_en
liquor store;3;retail;food and beverage retail;liquor store;;;;A shop selling alcoholic beverages.
skydiving center;2;sports and recreation;skydiving center;;;;;A facility offering skydiving experiences and training.
observatory;2;community and government;observatory;;;;;A facility equipped for observing celestial events and astronomy.
sukiyaki restaurant;5;dining and drinking;restaurant;asian restaurant;japanese restaurant;sukiyaki restaurant;;A restaurant serving sukiyaki, a Japanese hot pot dish.
salsa club;2;arts and entertainment;salsa club;;;;;A social venue where people dance salsa and Latin music.
roman restaurant;4;dining and drinking;restaurant;italian restaurant;roman restaurant;;;A restaurant serving cuisine inspired by Rome, Italy.
transportation service;2;travel and transportation;transportation service;;;;;A company providing transport of people or goods.
daycare;3;business and professional services;child care service;daycare;;;;A facility providing supervision and care for young children during the day.
shanghai restaurant;5;dining and drinking;restaurant;asian restaurant;chinese restaurant;shanghai restaurant;;A restaurant serving cuisine from Shanghai, China.
mexican restaurant;3;dining and drinking;restaurant;mexican restaurant;;;;A restaurant serving cuisine from Mexico.
pop-up store;2;retail;pop-up store;;;;;A temporary retail shop that opens for a short duration.
rehabilitation center;2;community and government;rehabilitation center;;;;;A facility providing therapy and recovery services for physical or mental conditions.
halal restaurant;3;dining and drinking;restaurant;halal restaurant;;;;A restaurant serving food prepared according to Islamic dietary laws.
meyhane;4;dining and drinking;restaurant;turkish restaurant;meyhane;;;A Turkish or Mediterranean tavern serving meze and alcoholic drinks.
rock climbing spot;2;landmarks and outdoors;rock climbing spot;;;;;A natural or artificial location for rock climbing activities.
career counselor;2;business and professional services;career counselor;;;;;A professional advising on career planning and development.
equestrian facility;2;sports and recreation;equestrian facility;;;;;A place for horse riding, training, and care.
buddhist temple;3;community and government;spiritual center;buddhist temple;;;;A place of worship and practice for Buddhists.
pharmacy;2;retail;pharmacy;;;;;A store or facility dispensing prescription and over-the-counter medications.
pie shop;3;dining and drinking;dessert shop;pie shop;;;;A bakery or café specializing in pies.
romanian restaurant;4;dining and drinking;restaurant;eastern european restaurant;romanian restaurant;;;A restaurant serving cuisine from Romania.
falafel restaurant;3;dining and drinking;restaurant;falafel restaurant;;;;A restaurant serving falafel, deep-fried chickpea balls, often in Middle Eastern style.
swimming club;4;sports and recreation;water sports;swimming;swimming club;;;An organization or facility for swimming activities and competitions.
government lobbyist;2;community and government;government lobbyist;;;;;An individual or organization influencing government policy or decisions.
cardiologist;3;health and medicine;physician;cardiologist;;;;A medical doctor specializing in heart health and cardiovascular conditions.
plastics supplier;2;business and professional services;plastics supplier;;;;;A company providing plastic materials for manufacturing or production.
salvage yard;2;business and professional services;salvage yard;;;;;A facility selling used, damaged, or scrap materials and vehicles.
publisher;2;business and professional services;publisher;;;;;A company producing and distributing books, magazines, or other media.
racquet sports;2;sports and recreation;racquet sports;;;;;Sports played with racquets, such as tennis, badminton, or squash.
castle;2;landmarks and outdoors;castle;;;;;A fortified building or historic residence.
electronics store;3;retail;computers and electronics retail;electronics store;;;;A retail store selling electronic devices and gadgets.
used car dealership;4;retail;automotive retail;car dealership;used car dealership;;;A business selling pre-owned vehicles.
professional cleaning service;3;business and professional services;home improvement service;professional cleaning service;;;;A company providing commercial or residential cleaning services.
street food gathering;3;event;marketplace;street food gathering;;;;A public event featuring multiple street food vendors.
tobacco store;2;retail;tobacco store;;;;;A retail shop selling cigarettes, cigars, and related products.
cemevi;3;community and government;spiritual center;cemevi;;;;A place of worship and community for Alevi Muslims.
winery;2;dining and drinking;winery;;;;;A facility where wine is produced and often sold directly to customers.
yucatecan restaurant;4;dining and drinking;restaurant;mexican restaurant;yucatecan restaurant;;;A restaurant serving cuisine from the Yucatán Peninsula, Mexico.
college auditorium;4;community and government;education;college and university;college auditorium;;;A large hall on a college campus for lectures, performances, or events.
nursing home;2;health and medicine;nursing home;;;;;A residential facility providing long-term care for elderly or disabled individuals.
fashion accessories store;3;retail;fashion retail;fashion accessories store;;;;A shop selling items like jewelry, bags, and hats.
sports medicine clinic;2;health and medicine;sports medicine clinic;;;;;A medical facility specializing in sports injuries and performance care.
tv station;2;business and professional services;tv station;;;;;A facility producing and broadcasting television content.
oral surgeon;3;health and medicine;physician;oral surgeon;;;;A dental specialist performing surgeries related to teeth, mouth, and jaw.
tantuni restaurant;4;dining and drinking;restaurant;turkish restaurant;tantuni restaurant;;;A restaurant serving tantuni, a Turkish street food wrap with spiced meat.
gymnastics;2;sports and recreation;gymnastics;;;;;A sport involving physical exercises on apparatus or floor routines.
electrical equipment supplier;2;business and professional services;electrical equipment supplier;;;;;A company providing electrical devices, components, and systems.
repair service;2;business and professional services;repair service;;;;;A business providing repair services for equipment or devices.
malay restaurant;4;dining and drinking;restaurant;asian restaurant;malay restaurant;;;A restaurant serving cuisine from the Malay region (Malaysia and surrounding areas).
festival;3;event;entertainment event;festival;;;;A public celebration with entertainment, food, and cultural events.
parade;3;event;entertainment event;parade;;;;A public procession with participants, floats, and performances.
meeting room;3;business and professional services;office;meeting room;;;;A room designated for gatherings, conferences, or business meetings.
baggage claim;4;travel and transportation;transport hub;airport;baggage claim;;;An area in airports where passengers retrieve checked luggage.
beer store;3;retail;food and beverage retail;beer store;;;;A shop selling beer and related beverages.
children's hospital;3;health and medicine;hospital;children's hospital;;;;A medical facility specializing in healthcare for children.
distribution center;2;business and professional services;distribution center;;;;;A warehouse facility for storing and distributing goods.
college cafeteria;4;community and government;education;college and university;college cafeteria;;;A dining facility on a college campus.
nudist beach;2;landmarks and outdoors;nudist beach;;;;;A beach where clothing is optional and nudity is accepted.
laundry service;2;business and professional services;laundry service;;;;;A business providing washing and cleaning of clothing and textiles.
meat and seafood store;3;retail;food and beverage retail;meat and seafood store;;;;A retail shop selling fresh meat, poultry, and seafood.
japanese family restaurant;5;dining and drinking;restaurant;asian restaurant;japanese restaurant;japanese family restaurant;;A casual Japanese restaurant catering to families with a variety of dishes.
industrial equipment supplier;2;business and professional services;industrial equipment supplier;;;;;A company providing machinery, tools, and equipment for industrial use.
recording studio;2;business and professional services;recording studio;;;;;A facility equipped for recording music, audio, or voice-overs.
fraternity house;4;community and government;education;college and university;fraternity house;;;A residence for members of a college fraternity.
dim sum restaurant;5;dining and drinking;restaurant;asian restaurant;chinese restaurant;dim sum restaurant;;A restaurant serving dim sum, small bite-sized Chinese dishes, often steamed or fried.
kumpir restaurant;4;dining and drinking;restaurant;turkish restaurant;kumpir restaurant;;;A restaurant serving kumpir, a Turkish stuffed baked potato dish.
friuli restaurant;4;dining and drinking;restaurant;italian restaurant;friuli restaurant;;;A restaurant serving cuisine from Friuli, a region in northeastern Italy.
brazilian restaurant;5;dining and drinking;restaurant;latin american restaurant;south american restaurant;brazilian restaurant;;A restaurant serving cuisine from Brazil.
borek place;4;dining and drinking;restaurant;turkish restaurant;borek place;;;A restaurant or bakery specializing in börek, a baked filled pastry common in Turkey.
souvenir store;2;retail;souvenir store;;;;;A retail shop selling memorabilia and keepsakes for tourists.
bar;2;dining and drinking;bar;;;;;An establishment serving alcoholic beverages and sometimes food.
roof deck;2;landmarks and outdoors;roof deck;;;;;An outdoor space on the roof of a building, often used for relaxation or events.
machine shop;2;business and professional services;machine shop;;;;;A workshop where metal parts and machinery are fabricated or repaired.
cupcake shop;3;dining and drinking;dessert shop;cupcake shop;;;;A bakery specializing in cupcakes and related pastries.
gourmet store;3;retail;food and beverage retail;gourmet store;;;;A retail shop selling high-quality, specialty, and luxury food items.
varenyky restaurant;4;dining and drinking;restaurant;ukrainian restaurant;varenyky restaurant;;;A restaurant serving varenyky, Ukrainian dumplings filled with various ingredients.
collections service;3;business and professional services;financial service;collections service;;;;A company providing debt collection or accounts receivable services.
imported food store;3;retail;food and beverage retail;imported food store;;;;A retail store selling food products imported from other countries.
river;2;landmarks and outdoors;river;;;;;A natural flowing watercourse, usually freshwater, that flows toward an ocean, sea, or lake.
czech restaurant;3;dining and drinking;restaurant;czech restaurant;;;;A restaurant serving cuisine from the Czech Republic.
boxing gym;3;sports and recreation;gym and studio;boxing gym;;;;A facility providing boxing training and workouts.
rv park;2;travel and transportation;rv park;;;;;A park or campground equipped for recreational vehicles.
urgent care center;2;health and medicine;urgent care center;;;;;A medical facility providing immediate, non-emergency care.
south indian restaurant;4;dining and drinking;restaurant;indian restaurant;south indian restaurant;;;A restaurant serving cuisine from South India, including dosa, idli, and curry dishes.
internet cafe;2;arts and entertainment;internet cafe;;;;;A place providing internet access and sometimes food or beverages.
tennis store;3;retail;sporting goods retail;tennis store;;;;A retail shop selling tennis equipment, clothing, and accessories.
skydiving drop zone;3;sports and recreation;skydiving center;skydiving drop zone;;;;A location designated for skydiving jumps and related services.
fried chicken joint;3;dining and drinking;restaurant;fried chicken joint;;;;A casual eatery specializing in fried chicken dishes.
beer festival;4;event;entertainment event;festival;beer festival;;;An event celebrating beer with tastings, vendors, and entertainment.
sorority house;4;community and government;education;college and university;sorority house;;;A residence for members of a college sorority.
nabe restaurant;5;dining and drinking;restaurant;asian restaurant;japanese restaurant;nabe restaurant;;A restaurant serving nabe, a Japanese hot pot dish with meat, vegetables, and broth.
history museum;3;arts and entertainment;museum;history museum;;;;A museum dedicated to preserving and exhibiting historical artifacts and knowledge.
real estate service;2;business and professional services;real estate service;;;;;A company providing services related to buying, selling, or managing real estate.
english restaurant;3;dining and drinking;restaurant;english restaurant;;;;A restaurant serving traditional English cuisine.
spanish restaurant;3;dining and drinking;restaurant;spanish restaurant;;;;A restaurant serving cuisine from Spain.
media agency;2;business and professional services;media agency;;;;;A company specializing in media planning, advertising, and communications.
frozen yogurt shop;3;dining and drinking;dessert shop;frozen yogurt shop;;;;A store selling frozen yogurt and related toppings.
real estate agency;3;business and professional services;real estate service;real estate agency;;;;A business facilitating buying, selling, or renting of properties.
fuel station;2;travel and transportation;fuel station;;;;;A facility selling gasoline, diesel, or other fuels for vehicles.
bath house;3;business and professional services;health and beauty service;bath house;;;;A facility offering public bathing, often with spa services.
lake;2;landmarks and outdoors;lake;;;;;A large body of freshwater or saltwater surrounded by land.
barbershop;3;business and professional services;health and beauty service;barbershop;;;;A place providing haircuts, shaves, and grooming services for men.
hospice;2;health and medicine;hospice;;;;;A facility or service providing end-of-life care and support for terminally ill patients.
chinese aristocrat restaurant;5;dining and drinking;restaurant;asian restaurant;chinese restaurant;chinese aristocrat restaurant;;A restaurant serving high-end or traditional Chinese cuisine inspired by aristocratic tastes.
argentinian restaurant;5;dining and drinking;restaurant;latin american restaurant;south american restaurant;argentinian restaurant;;A restaurant serving cuisine from Argentina, often featuring grilled meats and empanadas.
