OSM_tag;OSM_path;OSM_description;FS_candidates;FS_scores;FS_tag_GPT;OSM_full_description;FS_manual_path;FS_manual_tag;correct;correct_in_k;correct_embedding;correct_in_k_or_main;OSM_main;OSM_main_sub
parking entrance;amenity > transportation > parking entrance;An entrance or exit to an underground or multi-storey parking facility. Group multiple parking entrances together with a relation using the tags type=site and site=parking;['parking', 'rv park', 'urban park', 'park', 'picnic area'];[0.48826026916503906, 0.4103512465953827, 0.41018784046173096, 0.38127338886260986, 0.3791824281215668];parking;An entrance or exit to an underground or multi-storey parking facility. Group multiple parking entrances together with a relation using the tags type=site and site=parking;travel transportation > parking;parking;1;1;1;1;amenity;amenity > transportation
parking space;amenity > transportation > parking space;A single parking space within a car park. Parking spaces should be mapped within an amenity=parking area. Group multiple parking spaces together with a relation using the tags type=site and site=parking;['parking', 'rv park', 'trailer park', 'urban park', 'dog park'];[0.5148167610168457, 0.42137646675109863, 0.3779493272304535, 0.3737355172634125, 0.3315480947494507];parking;A single parking space within a car park. Parking spaces should be mapped within an amenity=parking area. Group multiple parking spaces together with a relation using the tags type=site and site=parking;travel transportation > parking;parking;1;1;1;1;amenity;amenity > transportation
taxi;amenity > transportation > taxi;A place where taxis wait for passengers.;['taxi', 'taxi stand', 'transportation service', 'truck stop', 'lodging'];[0.6379899978637695, 0.4876718819141388, 0.42668622732162476, 0.41810014843940735, 0.416736900806427];taxi stand;A place where taxis wait for passengers.;travel transportation > transport hub > taxi stand;taxi stand;1;1;0;1;amenity;amenity > transportation
weighbridge;amenity > transportation > weighbridge;A large weight scale to weigh vehicles and goods;['platform', 'travel transportation', 'transportation service', 'rest area', 'train'];[0.4756663739681244, 0.41497451066970825, 0.39524388313293457, 0.38979703187942505, 0.3896455764770508];transportation service;A large weight scale to weigh vehicles and goods;travel transportation;travel transportation;0;1;0;1;amenity;amenity > transportation
atm;amenity > financial > atm;Automated teller machine (ATM) or cashpoint: a device that provides the clients of a financial institution with access to financial transactions.;['atm', 'check cashing service', 'bank', 'banking finance', 'credit union'];[0.6217098832130432, 0.5445665717124939, 0.48938125371932983, 0.46813440322875977, 0.4369870722293854];atm;Automated teller machine (ATM) or cashpoint: a device that provides the clients of a financial institution with access to financial transactions.;business professional services > financial service > banking finance > atm;atm;1;1;1;1;amenity;amenity > financial
payment terminal;amenity > financial > payment terminal;Self-service payment kiosk/terminal;['atm', 'banking finance', 'bank', 'financial legal service', 'check cashing service'];[0.49162060022354126, 0.4665513038635254, 0.4606727361679077, 0.4552643299102783, 0.44606655836105347];atm;Self-service payment kiosk/terminal;business professional services > financial service > banking finance > atm;atm;1;1;1;1;amenity;amenity > financial
bank;amenity > financial > bank;Bank or credit union: a financial establishment where customers can deposit and withdraw money, take loans, make investments and transfer funds.;['atm', 'credit union', 'bank', 'banking finance', 'loans agency'];[0.5421470403671265, 0.529404878616333, 0.5239371061325073, 0.5147932767868042, 0.41542327404022217];bank;Bank or credit union: a financial establishment where customers can deposit and withdraw money, take loans, make investments and transfer funds.;business professional services > financial service > banking finance > bank;bank;1;1;0;1;amenity;amenity > financial
bureau de change;amenity > financial > bureau de change;Bureau de change, money changer, currency exchange, Wechsel, cambio – a place to change foreign bank notes and travellers cheques.;['currency exchange', 'check cashing service', 'bank', 'banking finance', 'atm'];[0.5431502461433411, 0.40325069427490234, 0.3645550012588501, 0.33590930700302124, 0.33481305837631226];currency exchange;Bureau de change, money changer, currency exchange, Wechsel, cambio �?? a place to change foreign bank notes and travellers cheques.;business professional services > financial service > currency exchange;currency exchange;1;1;1;1;amenity;amenity > financial
money transfer;amenity > financial > money transfer;A place that offers money transfers, especially cash to cash;['atm', 'check cashing service', 'bank', 'currency exchange', 'banking finance'];[0.47628116607666016, 0.47541701793670654, 0.42049694061279297, 0.41641688346862793, 0.4108077585697174];check cashing service;A place that offers money transfers, especially cash to cash;business professional services > financial service;financial service;0;0;0;0;amenity;amenity > financial
payment centre;amenity > financial > payment centre;A non-bank place, where people can pay bills of public and private services and taxes.;['check cashing service', 'utility company', 'banking finance', 'atm', 'credit union'];[0.418002724647522, 0.4136357009410858, 0.41350650787353516, 0.40448808670043945, 0.39877432584762573];utility company;A non-bank place, where people can pay bills of public and private services and taxes.;business professional services > financial service;financial service;0;0;0;0;amenity;amenity > financial
baby hatch;amenity > healthcare > baby hatch;A place where a baby can be, out of necessity, anonymously left to be safely cared for and perhaps adopted.;['maternity clinic', 'assisted living service', 'baby store', 'child care service', 'childrens hospital'];[0.4878203272819519, 0.4155179262161255, 0.405104398727417, 0.3689361810684204, 0.3440248370170593];maternity clinic;A place where a baby can be, out of necessity, anonymously left to be safely cared for and perhaps adopted.;community government;community government;0;0;0;0;amenity;amenity > healthcare
clinic;amenity > healthcare > clinic;A medium-sized medical facility or health centre.;['medical center', 'healthcare clinic', 'hospital', 'hospital unit', 'urgent care center'];[0.6207142472267151, 0.6023049354553223, 0.5927539467811584, 0.5824156403541565, 0.5578012466430664];healthcare clinic;A medium-sized medical facility or health centre.;health medicine > healthcare clinic;healthcare clinic;1;1;0;1;amenity;amenity > healthcare
dentist;amenity > healthcare > dentist;A dentist practice / surgery.;['dentist', 'oral surgeon', 'anesthesiologist', 'general surgeon', 'orthopedic surgeon'];[0.6371718645095825, 0.5731512308120728, 0.3802828788757324, 0.37179845571517944, 0.360202819108963];dentist;A dentist practice / surgery.;health medicine > dentist;dentist;1;1;1;1;amenity;amenity > healthcare
doctors;amenity > healthcare > doctors;A doctor's practice / surgery.;['general surgeon', 'orthopedic surgeon', 'anesthesiologist', 'internal medicine doctor', 'plastic surgeon'];[0.5702130794525146, 0.5519689321517944, 0.5469886064529419, 0.48875904083251953, 0.4802151620388031];internal medicine doctor;A doctor's practice / surgery.;health medicine > physician > general surgeon;general surgeon;0;1;1;1;amenity;amenity > healthcare
hospital;amenity > healthcare > hospital;A hospital providing in-patient medical treatment. Often used in conjunction with emergency=* to note whether the medical centre has emergency facilities (A&E (brit.) or ER (am.));['emergency room', 'emergency service', 'ambulance service', 'urgent care center', 'hospital unit'];[0.6524714827537537, 0.6321372985839844, 0.5623259544372559, 0.542977511882782, 0.5169482231140137];hospital unit;A hospital providing in-patient medical treatment. Often used in conjunction with emergency=* to note whether the medical centre has emergency facilities (A&E (brit.) or ER (am.));health medicine > hospital > hospital unit;hospital unit;1;1;0;1;amenity;amenity > healthcare
nursing home;amenity > healthcare > nursing home;Discouraged tag for a home for disabled or elderly persons who need permanent care. Use amenity=social_facility + social_facility=nursing_home now.;['nursing home', 'assisted living service', 'disabled persons service', 'assisted living', 'retirement home'];[0.5566796064376831, 0.5112016201019287, 0.49758586287498474, 0.48832643032073975, 0.45179080963134766];nursing home;Discouraged tag for a home for disabled or elderly persons who need permanent care. Use amenity=social_facility + social_facility=nursing_home now.;health medicine > nursing home;nursing home;1;1;1;1;amenity;amenity > healthcare
pharmacy;amenity > healthcare > pharmacy;"Pharmacy: a shop where a pharmacist sells medications
dispensing=yes/no - availability of prescription-only medications";['pharmacy', 'drugstore', 'medical supply store', 'supplement store', 'alternative medicine clinic'];[0.6214962005615234, 0.5666688084602356, 0.4688548445701599, 0.43067455291748047, 0.4101381301879883];pharmacy;"Pharmacy: a shop where a pharmacist sells medications
dispensing=yes/no - availability of prescription-only medications";retail > pharmacy;pharmacy;1;1;1;1;amenity;amenity > healthcare
social facility;amenity > healthcare > social facility;A facility that provides social services: group & nursing homes, workshops for the disabled, homeless shelters, etc.;['nursing home', 'rehabilitation center', 'homeless shelter', 'assisted living service', 'social services organization'];[0.5407811403274536, 0.5092217922210693, 0.5042120814323425, 0.4728647768497467, 0.46827006340026855];social services organization;A facility that provides social services: group & nursing homes, workshops for the disabled, homeless shelters, etc.;community government > public social service;public social service;0;0;0;0;amenity;amenity > healthcare
veterinary;amenity > healthcare > veterinary;A place where a veterinary surgeon, also known as a veterinarian or vet, practices.;['veterinarian', 'anesthesiologist', 'general surgeon', 'pet service', 'pet grooming service'];[0.6813398599624634, 0.4251309633255005, 0.42498546838760376, 0.4247033894062042, 0.4198352098464966];veterinarian;A place where a veterinary surgeon, also known as a veterinarian or vet, practices.;health medicine > veterinarian;veterinarian;1;1;1;1;amenity;amenity > healthcare
arts centre;amenity > entertainment arts culture > arts centre;A venue where a variety of arts are performed or conducted;['performing arts venue', 'music venue', 'theater', 'amphitheater', 'party center'];[0.7977830767631531, 0.7584629058837891, 0.7579344511032104, 0.7292126417160034, 0.704339861869812];performing arts venue;A venue where a variety of arts are performed or conducted;arts entertainment > performing arts venue;performing arts venue;1;1;1;1;amenity;amenity > entertainment arts culture
